#random sampling: 63689044
Gene	W79	W111	W105	W189	W85	W183	W89	W53	W154	W196	W91	W64	W193	W100	W234	W117
hao	268	307	226	3553	341	2739	786	1316	2474	2975	445	340	3219	169	623	2128
hcp	495	558	985	3864	364	2932	554	3688	4275	3880	416	662	2759	676	610	887
hdh	0	0	0	8	0	10	0	2	0	2	0	0	2	1	0	1
hzo	6	1	13	15	12	63	2	9	7	7	2	9	6	3	3	5
hzsA	0	1	2	39	3	56	3	19	14	17	1	2	21	1	9	9
hzsB	7	8	9	40	5	38	13	28	19	23	4	7	26	7	8	24
hzsC	0	0	0	3	0	24	0	0	0	2	0	0	6	0	0	0
nao	126	25	286	18	274	23	143	8	8	21	209	189	5	51	41	19
napA	3496	4251	3523	8313	3049	8631	2293	6793	5204	7476	3173	3723	8427	4241	2700	6939
napB	130	115	116	301	119	219	38	104	121	145	111	72	275	117	81	188
napC	348	380	280	934	314	505	172	274	562	638	410	255	719	610	396	643
narB	4425	3226	3651	3298	6185	3236	3676	2047	2227	3156	5174	3509	2488	2835	3684	2749
narC	2742	2785	3496	2431	3033	2814	3302	2915	1872	2506	2807	3191	2291	3153	2492	3379
narG	2522	3986	4007	4555	2918	6706	2903	2843	3149	2872	3274	3888	3163	4653	3240	6651
narH	1000	1610	1434	2047	820	2849	990	1690	1786	1321	1242	1469	1404	2457	1689	3111
narI	618	631	1259	697	825	766	653	661	738	414	811	1070	368	1278	664	958
narJ	502	561	894	476	548	582	375	546	369	311	615	836	259	1114	667	531
narV	14	29	16	28	15	54	12	16	9	21	31	25	11	84	55	21
narW	0	8	1	4	0	4	0	1	0	2	0	0	4	5	1	2
narY	509	471	1341	125	852	235	546	159	132	148	775	923	81	749	214	181
narZ	1329	1567	2790	1870	1496	2336	1278	2288	1856	1318	1535	2242	1114	3430	1762	2207
nasA	10584	8725	9568	7383	9728	7614	6148	5929	5242	7144	9494	9598	5975	10233	6947	6585
nasB	494	347	1027	268	620	236	366	255	258	238	482	702	159	512	215	313
nasC	3	1	2	3	1	1	0	3	0	4	0	2	6	1	3	1
nifD	377	789	676	3841	232	2066	916	1286	2528	2706	619	574	1416	891	783	624
nifH	253	447	597	1831	245	1183	395	763	1974	1349	339	479	877	753	592	637
nifK	218	570	546	3523	139	1976	712	1056	2469	2551	391	431	1326	674	614	540
nifW	10	43	21	125	9	100	15	71	94	104	24	18	41	98	15	23
nirA	3441	2970	3995	1470	4324	1375	3625	524	1212	1071	4283	3681	830	2608	2984	1478
nirB	5650	4624	6616	5621	5483	4405	2999	3766	3314	5007	4977	5402	3256	6076	3781	3229
nirD	2798	2445	2892	1681	3041	1749	2162	1459	1427	1347	2705	3059	1498	2535	1931	2141
nirK	5052	4440	5908	1797	4600	2467	2280	2838	3464	1331	3934	6555	1566	8408	3046	6088
nirS	1254	1771	1275	4542	1373	3984	717	2921	3234	2708	1279	1453	4109	2341	1209	4586
nmo	17442	16550	18059	18125	18073	18673	12996	16408	15961	16870	17878	19413	17067	21394	15324	18332
norB	3099	2081	3163	1927	3784	1936	3355	3462	5796	1940	3762	3595	1207	3298	3857	3592
norC	239	273	206	328	201	336	185	304	404	212	190	335	213	561	136	401
nosZ	3225	3050	2897	3813	2813	4092	1752	2741	3130	2639	2912	3507	3973	5039	2137	6760
nrfA	2070	3037	2313	1070	1321	2073	731	4156	3376	668	889	2018	1132	2239	880	1492
nrfB	2	1	0	2	0	2	0	0	1	3	0	0	1	0	1	14
nrfC	4937	6469	5327	12957	4477	13686	6421	12003	10712	13583	5394	5423	13085	7618	6605	11501
nrfD	9	21	25	97	5	111	43	152	52	152	18	28	81	22	52	63
nxrA	6	15	18	26	7	28	36	16	36	12	18	14	18	23	9	56
nxrB	158	172	115	147	98	455	177	71	149	26	64	174	68	100	318	487
pmoA	13	6	4	46	10	66	18	4	0	11	23	13	23	1	41	10
pmoB	60	72	50	108	40	170	81	52	38	27	76	56	52	33	147	40
pmoC	16	27	2	42	8	83	20	11	0	15	50	10	7	0	87	8
ureA	667	709	843	375	711	300	424	242	514	379	746	797	234	417	807	398
ureB	746	713	789	447	791	283	398	173	502	310	727	719	190	373	711	382
ureC	4016	3735	4371	2178	4242	1567	2426	1064	2593	1781	4330	4091	1267	2174	4261	2176
