ID	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius	1	2	6	5	4	3	0.0	0.0	1	0.0	5	4	2	0.0	4	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius|s__Thermogladius calderae	1	2	6	5	4	3	0.0	0.0	1	0.0	5	4	2	0.0	4	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Thermosphaera aggregans	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae	14	11	7	3	2	10	12	6	3	1	7	17	10	15	4	6
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus	2	5	4	0.0	0.0	1	1	1	1	0.0	0.0	5	2	3	1	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus|s__Hyperthermus butylicus	2	5	4	0.0	0.0	1	1	1	1	0.0	0.0	5	2	3	1	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrodictium	6	6	2	3	2	7	6	2	2	1	5	4	0.0	8	1	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrodictium|s__Pyrodictium delaneyi	6	6	2	3	2	7	6	2	2	1	5	4	0.0	8	1	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrolobus	6	0.0	0.0	0.0	0.0	0.0	5	3	0.0	0.0	2	2	0.0	3	2	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrolobus|s__Pyrolobus fumarii	6	0.0	0.0	0.0	0.0	0.0	5	3	0.0	0.0	2	2	0.0	3	2	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	23	5	8	5	11	20	11	17	25	2	4	7	4	1	2	5
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	23	5	8	5	11	20	11	17	25	2	4	7	4	1	2	5
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus	10	0.0	1	2	3	4	3	5	4	2	1	2	1	0.0	0.0	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus brierleyi	1	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus hospitalis	9	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus sulfidivorans	0.0	0.0	0.0	1	2	4	3	5	4	2	1	2	1	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera	1	1	0.0	1	5	1	2	3	3	0.0	1	2	1	1	1	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera cuprina	0.0	0.0	0.0	1	2	0.0	2	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera hakonensis	0.0	1	0.0	0.0	2	1	0.0	1	0.0	0.0	1	0.0	1	1	1	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera sedula	0.0	0.0	0.0	0.0	1	0.0	0.0	2	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus	11	4	4	0.0	3	6	1	3	12	0.0	0.0	1	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus acidocaldarius	0.0	3	0.0	0.0	0.0	2	0.0	1	3	0.0	0.0	1	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus islandicus	10	1	2	0.0	1	1	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus solfataricus	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. A20	1	0.0	0.0	0.0	2	1	1	2	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfurisphaera	0.0	0.0	0.0	1	0.0	0.0	0.0	1	1	0.0	0.0	2	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfurisphaera|s__Sulfurisphaera tokodaii	0.0	0.0	0.0	1	0.0	0.0	0.0	1	1	0.0	0.0	2	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	56	42	23	28	27	45	37	26	36	14	24	34	19	33	17	32
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae	8	15	11	9	8	17	16	7	19	4	6	9	3	10	5	6
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum	8	15	11	9	8	17	16	7	19	4	6	9	3	10	5	6
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum adornatus	0.0	0.0	1	0.0	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum carboxyditrophus	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum pendens	2	9	8	5	4	2	3	5	6	0.0	1	6	3	5	1	4
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum uzonense	3	2	1	0.0	1	1	4	0.0	4	2	1	2	0.0	3	1	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	48	27	12	19	19	27	21	19	16	10	17	25	16	23	12	26
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga	1	1	1	0.0	0.0	1	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga|s__Caldivirga maquilingensis	1	1	1	0.0	0.0	1	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	9	0.0	1	1	0.0	0.0	4	1	0.0	1	1	5	0.0	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum islandicum	9	0.0	1	1	0.0	0.0	4	1	0.0	1	1	5	0.0	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus	32	24	9	14	15	16	7	6	11	8	13	17	15	21	12	25
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus tenax	10	7	3	3	2	3	3	1	5	5	8	8	6	8	1	11
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus uzoniensis	22	17	6	11	13	13	4	5	6	3	5	9	9	13	11	14
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta	0.0	2	1	2	3	5	8	1	1	1	0.0	2	1	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta distributa	0.0	1	0.0	2	2	1	6	0.0	1	1	0.0	0.0	0.0	1	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta moutnovskia	0.0	1	1	0.0	1	2	1	1	0.0	0.0	0.0	2	1	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota	49743	5992	10180	3731	8809	11842	22490	3087	8522	3769	3092	7729	2649	4147	2041	3374
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	31	18	22	15	12	44	33	18	41	18	18	23	11	31	21	14
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	31	18	22	15	12	44	33	18	41	18	18	23	11	31	21	14
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	31	18	22	15	12	44	33	18	41	18	18	23	11	31	21	14
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	20	10	9	7	4	14	18	7	21	7	5	13	4	16	12	7
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus fulgidus	5	1	6	4	3	2	2	3	6	6	0.0	3	3	2	2	1
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus profundus	0.0	0.0	0.0	1	0.0	2	4	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus sulfaticallidus	4	4	2	1	0.0	3	3	3	7	1	1	7	0.0	3	1	1
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus veneficus	11	5	1	1	1	7	8	1	6	0.0	3	3	1	11	9	5
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus	2	2	7	1	1	10	1	3	10	1	0.0	1	1	1	0.0	3
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus placidus	2	2	7	1	1	10	1	3	10	1	0.0	1	1	1	0.0	3
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus	5	5	6	7	7	16	12	8	10	10	11	8	6	14	9	4
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus acetivorans	0.0	0.0	2	2	3	5	1	4	2	0.0	5	1	1	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus ahangari	5	5	4	5	4	11	11	4	8	10	5	7	5	14	9	4
d__Archaea|p__Euryarchaeota|c__Halobacteria	4673	2702	2337	2625	7712	2145	1428	1205	1290	1275	1219	3319	1880	3259	1100	1877
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	1506	860	734	728	2267	651	463	349	398	397	396	1008	536	996	328	539
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	927	533	434	456	1158	404	322	202	253	224	239	602	323	585	224	317
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula	235	146	118	119	377	114	96	56	62	66	75	176	78	181	57	110
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula hispanica	10	5	9	5	21	3	8	2	4	5	0.0	10	2	11	3	8
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula marismortui	29	17	12	13	67	16	16	8	9	17	14	22	10	18	6	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula sp. CBA1115	20	12	22	23	22	6	9	6	5	10	12	33	12	36	7	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula taiwanensis	42	51	29	26	76	30	13	9	11	11	22	52	13	40	9	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium	118	81	65	73	154	59	50	20	35	33	20	89	42	99	39	49
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium mukohataei	118	81	65	73	154	59	50	20	35	33	20	89	42	99	39	49
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus	146	81	78	65	158	66	48	40	39	43	40	94	65	94	38	59
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus tiamatea	74	39	36	30	67	30	23	21	20	23	13	47	34	59	14	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus utahensis	66	38	36	29	76	35	21	17	16	19	24	44	28	30	23	33
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis	126	70	52	45	172	48	45	20	39	28	25	72	35	62	19	38
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis sp. IM1011	126	70	52	45	172	48	45	20	39	28	25	72	35	62	19	38
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas	202	90	67	100	148	61	44	41	47	28	45	97	67	91	48	33
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas moolapensis	139	44	39	48	89	32	18	14	24	16	28	53	36	57	42	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas pharaonis	63	46	28	50	50	28	26	27	23	12	17	44	31	33	6	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|s__Haloarculaceae archaeon HArcel1	65	50	39	28	67	34	27	9	20	17	22	56	27	42	15	18
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	550	305	289	253	1021	225	131	141	135	165	150	390	202	396	99	211
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus	111	44	47	39	84	29	15	21	23	19	21	57	28	60	13	26
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus jeotgali	111	44	47	39	84	29	15	21	23	19	21	57	28	60	13	26
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum	36	29	31	17	55	29	23	22	23	24	14	35	16	37	12	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum sulfurireducens	36	29	31	17	55	29	23	22	23	24	14	35	16	37	12	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	346	199	159	170	785	142	78	79	70	113	99	272	129	278	63	148
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium hubeiense	138	90	64	61	243	44	22	28	25	34	26	84	44	106	23	53
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium salinarum	74	43	38	33	104	38	22	29	18	18	18	57	31	63	15	30
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium sp. DL1	108	56	45	63	379	56	30	19	26	53	46	111	48	103	24	60
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum	57	29	51	26	67	24	14	19	17	7	16	26	29	21	11	12
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum|s__Halodesulfurarchaeum formicicum	57	29	51	26	67	24	14	19	17	7	16	26	29	21	11	12
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	1240	745	597	799	3101	574	357	339	345	277	323	866	515	871	316	533
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	539	302	234	359	1764	235	165	155	141	119	137	359	193	382	117	238
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax	320	185	140	249	881	124	85	96	80	66	85	219	124	248	80	146
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax gibbonsii	77	57	33	65	246	34	28	22	20	15	23	55	31	58	26	43
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax mediterranei	44	23	20	59	181	16	12	24	24	10	8	41	24	31	19	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax volcanii	131	60	45	65	223	40	26	26	29	24	27	63	39	96	15	34
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum	40	19	26	31	146	33	14	9	13	8	11	22	23	32	9	32
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum borinquense	40	19	26	31	146	33	14	9	13	8	11	22	23	32	9	32
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus	118	90	56	66	667	65	59	35	42	38	36	108	44	97	22	54
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus sp. CBA1112	28	23	14	14	102	16	10	6	2	6	2	20	12	18	5	9
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus sp. CBA1113	11	7	5	5	98	12	6	3	5	5	2	14	2	9	2	3
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum	59	4	6	4	21	7	5	9	5	4	3	3	2	2	5	3
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum|s__Haloquadratum walsbyi	59	4	6	4	21	7	5	9	5	4	3	3	2	2	5	3
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae	631	380	298	324	961	277	164	156	175	123	156	417	274	437	175	257
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta	123	33	27	18	175	19	13	15	23	19	14	38	10	14	12	21
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta|s__Halohasta litchfieldiae	123	33	27	18	175	19	13	15	23	19	14	38	10	14	12	21
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus	82	72	53	59	106	56	27	29	37	20	24	70	76	94	23	47
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus|s__Halopenitus persicus	82	72	53	59	106	56	27	29	37	20	24	70	76	94	23	47
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	276	168	114	105	269	151	68	64	77	45	58	177	116	192	97	126
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum lacusprofundi	94	51	52	49	83	39	38	20	29	10	26	84	43	78	34	39
