# Pathway	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	6138.5578460049	2752.4208449612	2308.1028178867	2257.1887364068	2538.3838504798	2965.4734366113	2959.7269454026	2163.4662958549	2910.646038581	1727.7662658547	2895.9910626074	2991.3198091941	1770.5343591142	2358.7516512607	1634.419877508	2009.5232374849
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	7525.8497893566	3470.0343785142	2926.8549259844	2678.4180216569	2815.8703011354	3482.5225836156	3470.5890126127	2528.0773366412	3323.155670788	2468.9906536325	3429.6295836004	4108.139024045	2223.5867904222	3271.1634147321	2309.87445687	2765.1927293789
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0419393999	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5538425182	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptomyces.s__Streptomyces_chartreusis	0	7.6802353398	0	0	0	0	0	0	0	0	0	0	0	8.779411499	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	7386.2956384898	3440.4805501815	2926.7018003769	2662.8731178522	2807.4961846603	3472.0450579108	3450.1051243277	2525.5097359651	3305.2005258172	2442.9825289908	3370.9178677101	4080.1270853997	2207.6211377583	3229.3476074736	2295.4417368682	2723.1292764496
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1955.0500646936	1114.27422905	1067.3517487296	771.9903067399	897.8853866398	1152.3059960152	1196.7887511934	647.896403792	839.0717448884	954.1428877863	602.7783285454	1411.0008476008	885.7586025971	1142.3747593172	703.1185329019	1088.500855389
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	1932.4228472312	1057.5334259709	1067.0276636465	771.5609674835	884.7829550981	1150.8616272027	1179.160000812	647.2063917672	835.9714015163	883.0354492697	598.519631177	1348.5804312555	802.3680094528	996.240908801	641.5804028027	952.2325505665
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	496.017887793	311.8537635073	281.3132715281	282.996353368	213.1125158269	294.1060594392	270.9429171512	219.7996285886	206.0139823219	160.3999607964	148.44607444	379.9147832896	213.1316898322	302.3116183911	148.4010600484	232.6726033147
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	495.770156014	311.5067011766	281.2728469815	282.9105050922	213.0564320393	294.1060594392	270.8774870135	219.7871601032	206.0080087761	160.0061275602	148.2868849055	379.618907048	210.85839892	300.8719549857	148.3958747959	227.6789401572
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	2540.8584522297	884.9573316148	731.2492288766	1098.6277224517	1242.827352738	1401.5086465488	1310.5921165607	1310.3756993943	1445.6162376606	557.4719461325	1378.0674450196	892.0751622347	461.9097993195	723.0657634032	665.6604605638	604.622811529
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacillus.s__Bacillus_megaterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4126938845	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4874596762
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	3.6146568743	6.1483765266	0	1.7732477713
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9624639076
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Sorangium.s__Sorangium_cellulosum	1.0685663402	0	0	0	0	0	0	0	0	0	0	0	0	0.903852672	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	2502.5249080363	875.3658619259	731.2307468849	1094.9318271268	1242.4825461908	1399.9465508218	1308.9773889527	1308.2980762101	1441.2096636817	556.6647341598	1367.9634641456	891.2863638593	455.7625933982	710.7014009227	664.9820046366	594.1097483056
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	588.817861106	287.72467109	286.853942543	251.6740280062	247.9520679364	343.114098761	360.2105827212	283.5353658721	353.2108676465	237.4978700007	347.362843981	366.9781259418	196.0188351515	340.1992221724	251.8313870038	277.7684083143
ARGORNPROST-PWY: arginine, ornithine and proline interconversion|unclassified	588.4595221397	287.3882261698	286.853942543	251.6662244672	247.847391094	343.092533038	360.1504017292	283.3132071472	353.1431471954	237.0464975324	346.3996717301	366.8075802618	195.7559922138	339.2775891125	251.8064087537	276.9620553361
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	8302.8297417127	4100.5488987026	3467.3451189787	3225.1103061389	3205.9781792462	4183.8055916522	4339.3819722585	3137.3724584576	3764.5000635608	2815.9105480623	2787.3061990343	4725.8700204116	2731.8913165059	4003.3557028133	2112.2584507244	3250.0337497475
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	4.0709904198	25.996165092	0	22.2512680839
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	2.3553911351	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	3.4499857622	0	3.5544465431	6.2894994134	8.2414646897	0	10.5690512539
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	4.1899821191	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Methanosarcina.s__Methanosarcina_barkeri	4.9154689915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	19.7780475909	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Pseudomonas.s__Pseudomonas_stutzeri	2.5316210067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	4.6482488476	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	0	0	0	0	0	0	0	0	0	0	6.1166134612	0	4.7145406329	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Streptomyces.s__Streptomyces_chartreusis	0	6.4645957844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	34.9473290591	7.4918121286	34.1992211002	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	8044.0449577378	4061.117735161	3467.2042442855	3216.6437987716	3189.3644837375	4161.4429664241	4298.6516569649	3130.7716502767	3736.7930809322	2788.3887538452	2623.1910817576	4677.9460200478	2707.3007253582	3937.8845532843	2097.5185620055	3182.4533582674
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	4379.6555906893	1900.2646605525	1875.0390771847	1705.7733628051	1898.4960694289	3177.5137197507	3406.263087019	1937.6533294853	2741.1180834969	2218.0099551279	2119.0296376393	2680.4127828567	1468.2542921243	2013.6505682531	1471.8824776915	2028.8699068892
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	4.981652401	27.9182604539	0	26.5312338214
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	3.7779369285	0	3.1987397819	6.1062075357	10.3125470404	0	13.0453464475
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	4.2245422034	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Methanosarcina.s__Methanosarcina_barkeri	4.5826213602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	19.7233952091	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	0	1.2946247719	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Pseudomonas.s__Pseudomonas_stutzeri	1.7212655495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	4.524547951	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	5.9003497732	0	0	0	0	0	0	0	0	0	3.1001241093	0	3.0483400265	3.0469302603	3.2358838427
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Streptomyces.s__Streptomyces_chartreusis	0	10.2723054143	0	0	0	0	0	0	0	0	0	0	0	3.3588942252	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	34.8821530262	8.1573956781	33.9314275095	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Thiobacillus.s__Thiobacillus_denitrificans	0	0	0	0	0	0	0	0	0	0	10.8050385383	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	4276.5317046593	1875.3330363051	1874.9925194989	1703.9862584527	1891.5248968706	3157.833539101	3346.0577039499	1916.8662545341	2692.6442044792	2190.2100908632	1990.5092631707	2621.071651931	1440.8444367396	1906.405231463	1462.3166737681	1920.0043652284
ARO-PWY: chorismate biosynthesis I	7026.0917499319	3485.0559716177	2894.1894077997	2802.8237084097	2812.2674060558	3774.1244796808	4185.3054688574	2979.086497318	3718.4715054536	2592.5201769781	2397.9838210649	4246.5684590616	2323.5906907883	3323.1614539005	1899.0552119746	2819.2309189088
ARO-PWY: chorismate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6140047324
ARO-PWY: chorismate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	4.8624048974	15.8587658928	0	14.0089108108
ARO-PWY: chorismate biosynthesis I|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.972421771	0
ARO-PWY: chorismate biosynthesis I|g__Desulfobacter.s__Desulfobacter_postgatei	0	0	0	0	0	0	2.6545281227	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Oscillatoria.s__Oscillatoria_acuminata	8.5031125027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	6938.9353165607	3454.5541819363	2894.1894077997	2794.4171621285	2803.2928431086	3753.6000567133	4146.6413656021	2970.6905702353	3692.1349781762	2581.2279167608	2363.9646027672	4229.7931691146	2310.9780544075	3285.1116206933	1892.9935778914	2774.2677525666
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	1876.125793125	917.2977665421	774.9400563503	608.5866139475	850.1893688563	920.4963158157	1094.691208199	1042.3423215331	1225.350348172	788.0389372263	1083.9148577729	1097.3269120372	722.972704513	1054.2552910479	713.8130465537	866.5219955098
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacillus.s__Bacillus_megaterium	0	1.1545149739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Microcoleus.s__Microcoleus_vaginatus	2.1827715508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	1863.2154219385	898.0541703645	774.9400563503	608.5866139475	849.9448370278	920.4963158157	1092.2087546181	1041.8339548189	1223.1903513177	786.4272319833	1083.7974811677	1096.9274751334	722.6627500978	1046.5564498775	712.8474059392	865.3223543177
AST-PWY: L-arginine degradation II (AST pathway)	150.7488272863	32.1140271766	30.9207030662	71.8059151155	42.90946526	120.8823038495	44.6124476255	32.6147810271	38.9458594944	50.2892755168	17.6045618635	54.5858212743	30.9121294713	44.6662289081	18.7877707242	33.1163075532
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_junii	2.1350793538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	11.4091884074	0	0	0	0	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	1.166873589	0	0	0	0	0	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	138.4134609595	32.1140271766	30.9207030662	71.8059151155	40.9562968608	108.0661797221	44.6124476255	32.6042510612	38.9458594944	50.2079600062	17.6045618635	54.5858212743	30.8585470096	44.6164104472	18.7877707242	33.1163075532
BENZCOA-PWY: anaerobic aromatic compound degradation (Thauera aromatica)	21.7734923272	7.7761671874	19.25791888	30.3887880783	17.3900499808	49.9043271767	62.2662789873	31.5749009486	39.9472619722	33.5499838731	15.6418767219	24.0170779098	10.351003448	9.9513120413	15.8967062371	19.8641044927
BENZCOA-PWY: anaerobic aromatic compound degradation (Thauera aromatica)|unclassified	21.7734857083	7.7760884787	19.25791888	30.3887880783	17.3900468451	49.9042588355	62.2662207834	31.5748982811	39.9472619722	33.5471353651	15.6271576592	24.0120759378	10.3463494276	9.9496503155	15.8966859317	19.8594312617
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	2742.0619360913	671.2968416262	866.9876869037	1185.4912760419	1215.8495858912	1769.7577385581	1934.7037441921	1320.219632313	1556.436305995	1002.1804616163	987.4344326359	1233.9003637893	747.4891622535	850.9051945319	361.9327256246	822.0198344431
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	2723.9879774144	653.6370554085	866.9438200857	1181.0461331187	1211.260837265	1742.233205619	1928.222068178	1316.7013395804	1551.9517488317	996.0442572268	962.65925632	1231.8623136234	744.3221658505	846.4468837148	361.8740960568	816.0972759025
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	10175.3970996085	5533.4776967578	4744.4362430346	4291.242821783	4291.9379557844	5825.0454305465	5987.0013484193	4291.6423534725	5564.1062436741	3821.7150263725	3639.4492486891	6766.6301724661	3608.0539782355	5468.5916256943	3153.9882864964	4553.2947552366
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	15.3760892346	41.4727166309	0	43.0563535768
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0861730572	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	51.7160166474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Gillisia.s__Gillisia_limnaea	0.970926468	0	0	36.2204120537	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	3.9853770198	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	2.8376493336	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	2.3696943026	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	2.8703939214	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Methanosarcina.s__Methanosarcina_barkeri	5.7240038585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2335473487
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	24.466868251	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_stutzeri	4.4039440051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	6.2788884136	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	8.2268710461	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0734925618	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	10.8199293046	0	0	0	0	0	0	0	38.0624895982	0	25.6140750365	12.5580865238	19.9273944049	19.284546981	31.9156926315
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	1.447835462	1.9081792345	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Streptomyces.s__Streptomyces_chartreusis	0	6.7985158119	0	0	0	0	0	0	0	0	0	0	0	5.7666603113	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	52.2592775504	8.5041429332	36.2364976544	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	10033.7303875989	5403.352001944	4742.166467349	4242.6240558832	4279.425102859	5767.1294843242	5909.0104082602	4279.9417646234	5508.5968644107	3739.5583692778	3574.8235992151	6654.0436605457	3549.2885113758	5336.3881632414	3107.9819444709	4398.7126224572
CALVIN-PWY: Calvin-Benson-Bassham cycle	8756.0511419583	3497.4647954824	3279.9930223545	3536.7062946744	3583.0273967117	4581.1346306283	4802.9303436638	3516.6439102655	4510.7356690695	2550.785800163	4128.586886355	4388.9999692207	2443.228703306	3212.3844856874	1980.0684578525	2703.4681497467
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5064820526	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	34.4448728629	2.9580634415	45.5575218552	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	8490.5975251201	3481.5926979896	3279.28183203	3505.4998556242	3562.5428267808	4535.6251887464	4743.3285908307	3507.6648671222	4461.6094049289	2541.6754349379	3929.4882357764	4342.12683955	2434.416890045	3192.9926131337	1977.2194684821	2680.8185919688
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	488.6973723844	320.7815355009	236.671250726	136.8354997782	87.19403843	213.0470757346	103.7625497649	57.7692800653	93.9886724881	256.5271090666	97.5553770584	434.4121985489	224.6273708943	336.3134017488	155.8037109376	289.0603003158
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	9.5831336847	0	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	19.4438549898	0	0	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|unclassified	487.5479287693	319.8136405236	236.671250726	136.8354997782	87.19403843	153.4024857652	103.7625497649	57.7692800653	93.9886724881	255.6421482147	73.9666314926	420.8022346382	224.5160196793	336.0815391704	154.8487413238	286.8218244973
CENTBENZCOA-PWY: benzoyl-CoA degradation II (anaerobic)	27.9125982333	5.494433015	26.9978439689	75.2082039214	26.7484160719	124.1975036979	103.1127429215	92.3365306346	99.2973390866	51.7606139254	42.3776938148	22.3500041188	14.1594311943	13.5546642297	54.3301471257	25.8387401444
CENTBENZCOA-PWY: benzoyl-CoA degradation II (anaerobic)|unclassified	27.9125982333	5.494433015	26.9978439689	75.2082039214	26.7484160719	124.1975036979	103.1127429215	92.3365306346	99.2973390866	51.7606139254	42.3776938148	22.3500041188	14.1594311943	13.5546642297	54.3301471257	25.8387401444
CENTFERM-PWY: pyruvate fermentation to butanoate	1008.0077187363	362.2663375575	200.1549505378	206.7611850978	618.6054496164	749.6762496779	810.2047730139	421.5672579199	945.5858909113	514.6156515909	948.5191879597	435.0809290037	174.8840796592	189.1819122373	450.3648077854	400.9069044921
CENTFERM-PWY: pyruvate fermentation to butanoate|unclassified	998.9133273202	358.0117233632	200.1535954911	206.7611850978	595.2059677946	748.5717802415	803.4288228955	418.6780588787	940.6232055368	513.7383017895	938.4585329242	427.9483446239	174.8324223331	189.1097682343	449.555306635	400.2524034619
