# Pathway	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	116.0261421714	0	0	0	0
UNINTEGRATED|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_TB_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Azoarcus.s__Azoarcus_toluclasticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_megaterium	0	268.083920396	0	0	0	0	0	0	0	0	0	0	0	105.5842905558	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bdellovibrio.s__Bdellovibrio_bacteriovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134.9874716197
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	1037.0820584685	3836.3711777549	0	4027.5562882646
UNINTEGRATED|g__Brevundimonas.s__Brevundimonas_abyssalis	1392.0715357047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	346.3082396996	0	0	0	0	721.4234305341	0
UNINTEGRATED|g__Caulobacter.s__Caulobacter_vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cetobacterium.s__Cetobacterium_somerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chlorobium.s__Chlorobium_limicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Corallococcus.s__Corallococcus_coralloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cyanobium.s__Cyanobium_gracile	0	0	0	0	148.1805981806	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cylindrospermopsis.s__Cylindrospermopsis_raciborskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dechloromonas.s__Dechloromonas_aromatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfobacter.s__Desulfobacter_postgatei	0	0	0	0	0	0	173.1934236597	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	90.7537556909	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfotignum.s__Desulfotignum_phosphitoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_africanus	0	53.6557280858	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_desulfuricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dyella.s__Dyella_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eudoraea.s__Eudoraea_adriatica	0	0	0	0	0	0	51.3258332504	59.0140402441	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_antarcticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	0	450.6956677342	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sibiricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sp_AT1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sp_MH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geminocystis.s__Geminocystis_herdmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_lovleyi	0	54.4362661129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_metallireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_uraniireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	1232.3851575718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Gillisia.s__Gillisia_limnaea	392.101523069	0	0	1297.9125412223	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Haliscomenobacter.s__Haliscomenobacter_hydrossis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Halomonas.s__Halomonas_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Halomonas.s__Halomonas_titanicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Hyphomicrobium.s__Hyphomicrobium_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Hyphomonas.s__Hyphomonas_neptunium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Janthinobacterium.s__Janthinobacterium_lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Kangiella.s__Kangiella_aquimarina	0	0	0	0	0	0	0	16.9694314723	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Kocuria.s__Kocuria_sp_UCD_OTCP	0	3430.9977537324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	156.5516347851	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactococcus.s__Lactococcus_garvieae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lamprocystis.s__Lamprocystis_purpurea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Leeia.s__Leeia_oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	130.0485599414	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Massilia.s__Massilia_timonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	586.7427120683	0	913.7700470049	625.0816452859	1234.5279845356	0	1647.4238052039
UNINTEGRATED|g__Methanobacterium.s__Methanobacterium_formicicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanocella.s__Methanocella_paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	134.5594308723	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanolobus.s__Methanolobus_psychrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanolobus.s__Methanolobus_tindarius	0	0	0	0	0	0	95.282935859	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosaeta.s__Methanosaeta_concilii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosaeta.s__Methanosaeta_harundinacea	0	0	0	0	0	0	41.6453263977	0	29.8950865697	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	245.0583828769	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosarcina.s__Methanosarcina_barkeri	296.0845522308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanospirillum.s__Methanospirillum_hungatei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methylocystis.s__Methylocystis_rosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microbacterium.s__Microbacterium_laevaniformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microcoleus.s__Microcoleus_vaginatus	320.2933546616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microcystis.s__Microcystis_aeruginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Mycobacterium.s__Mycobacterium_tusciae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Mycobacterium.s__Mycobacterium_vaccae	0	0	0	0	0	0	0	0	0	0	0	348.0864224026	0	0	0	0
UNINTEGRATED|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.3683739883
UNINTEGRATED|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nocardioidaceae_noname.s__Nocardioidaceae_bacterium_Broad_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nodosilinea.s__Nodosilinea_nodulosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nostoc.s__Nostoc_punctiforme	0	273.9130032582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Novosphingobium.s__Novosphingobium_aromaticivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ornithinimicrobium.s__Ornithinimicrobium_pekingense	0	1998.7427832855	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Oscillatoria.s__Oscillatoria_acuminata	1084.2095141204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Oscillatoria.s__Oscillatoria_nigro_viridis	315.784808939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Paenisporosarcina.s__Paenisporosarcina_sp_TG_14	732.8136022861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bifermentans	0	0	0	0	274.513793009	0	117.584440799	31.229869418	116.2970241602	0	0	0	0	0	0	0
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_glycolicum	0	0	0	0	0	104.727385964	236.3451859413	0	148.014597403	0	0	0	0	0	0	0
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_sticklandii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Perlucidibaca.s__Perlucidibaca_piscinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Planctomyces.s__Planctomyces_limnophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	737.3524146881	0	0	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_paludivivens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	0	131.2871469041	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_putida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_stutzeri	487.6416831579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Psychrobacter.s__Psychrobacter_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	555.438451608	0	0	0	0	0
UNINTEGRATED|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	563.5399027714	0	0	0	0	0
UNINTEGRATED|g__Rhizobium.s__Rhizobium_giardinii	0	0	0	0	0	0	0	0	0	0	0	0	199.6141653012	0	0	0
UNINTEGRATED|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	195.8034696046	323.8073035984	0	0
UNINTEGRATED|g__Rhodanobacter.s__Rhodanobacter_fulvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Rhodanobacter.s__Rhodanobacter_thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	79.5342697348	0	91.0612322409
UNINTEGRATED|g__Rhodonellum.s__Rhodonellum_psychrophilum	128.6326556681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	426.7954402267	0	0	0	0	0	0	0	770.9028524496	0	500.6100004797	234.4263093605	568.1262174289	539.3800597821	815.7218526512
UNINTEGRATED|g__Sideroxydans.s__Sideroxydans_lithotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Sorangium.s__Sorangium_cellulosum	222.0167090342	126.0663210759	102.318838624	0	0	0	0	0	0	0	0	0	398.0903311438	416.7189528633	0	0
UNINTEGRATED|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptomyces.s__Streptomyces_chartreusis	0	1021.647068149	0	0	0	0	0	0	0	0	0	0	183.8948170352	603.2048961647	0	0
UNINTEGRATED|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Sulfuricurvum.s__Sulfuricurvum_kujiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	1155.255546384	229.8986431743	1135.8602506691	0	0	0	0	0	0	0
UNINTEGRATED|g__Thalassiosira.s__Thalassiosira_pseudonana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thauera.s__Thauera_aminoaromatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thauera.s__Thauera_phenylacetica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thauera.s__Thauera_terpenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thiobacillus.s__Thiobacillus_denitrificans	9938.7283048735	0	0	192.4273979443	0	337.0631934742	92.9505800889	0	0	0	4297.3977155394	241.7640788113	0	0	0	0
UNINTEGRATED|g__Thiobacillus.s__Thiobacillus_thioparus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	0	0	0	316.6683789499	0	0	0	0	0
UNINTEGRATED|g__Zymophilus.s__Zymophilus_raffinosivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	2344380.33710582	1146107.11608684	977196.940229457	847227.998687624	857647.535978488	1095207.27338061	1122936.25149824	902146.07250338	1137606.8486845	902547.323302411	896761.180188441	1390289.34359047	815262.005994147	1232223.37969905	911113.515637745	1012204.05840371
ko00010	3769.708	1886.76315	1654.113025	1432.363725	1507.112975	2046.8951	1958.8824	1471.543475	1956.105425	1332.965625	1802.259125	2251.821025	1296.357175	1962.71065	1310.84425	1588.153925
ko00010|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0.267975	0	0	0	0
ko00010|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Azoarcus.s__Azoarcus_toluclasticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Bacillus.s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Bacillus.s__Bacillus_megaterium	0	0.9746	0	0	0	0	0	0	0	0	0	0	0	0.316875	0	0
ko00010|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5807
ko00010|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	14.819075	0	16.519275
ko00010|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	2.166225	0	0	0	0	1.840675	0
ko00010|g__Caulobacter.s__Caulobacter_vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Corallococcus.s__Corallococcus_coralloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Cyanobium.s__Cyanobium_gracile	0	0	0	0	1.278075	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Cylindrospermopsis.s__Cylindrospermopsis_raciborskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Dechloromonas.s__Dechloromonas_aromatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	0.268175	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0.3423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Dyella.s__Dyella_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Eudoraea.s__Eudoraea_adriatica	0	0	0	0	0	0	0	0.0272	0	0	0	0	0	0	0	0
ko00010|g__Exiguobacterium.s__Exiguobacterium_antarcticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	0	2.8142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010|g__Exiguobacterium.s__Exiguobacterium_sibiricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
